gene,length
,
ZNF707,29446
,
PUS3,9736
,
P2RX6,18205
,
ARL13A,21123
,
MAPRE2,166542
,
MLEC,17133
,
NEK3,26958
,
IRF3,6306
,
CCNJ,17476
,
VPS4A,15603
,
PURB,9231
,
SLC35A5,23870
,
CLDND1,25154
,
COPS6,3218
,
EMID1,53701
,
MRPL1,89955
,
CYP51A1,49816
,
BAG4,36768
,
SDC3,39292
,
TADA2B,16053
,
CDC42EP3,96586
,
MAPK8IP2,13188
,
NOXRED1,29502
,
KRTAP10-8,875
,
CMSS1,363895
,
LDHD,4920
,
OR4F15,7995
,
CLP1,13677
,
TM4SF1,8670
,
CNTFR,38708
,
RBMS2,74373
,
SLC35B1,8080
,
POLG2,19269
,
NT5DC1,148646
,
RASSF8,121660
,
GMEB1,50575
,
CIDEA,23234
,
ELK4,34455
,
MYL1,25024
,
RHBDD1,163634
,
SPRY4,16028
,
CHRNE,36667
,
LTB4R,6586
,
LPCAT3,42292
,
TADA1,19754
,
METAP1,67150
,
LMO3,62222
,
TNK1,9240
,
C11orf84,
,
ARHGAP1,23539
,
DCAF16,17312
,
KCNK4,8729
,
PIGZ,22704
,
NFS1,31303
,
HMGN5,88214
,
CCT8,17992
,
RASL10B,11882
,
RP11-707O23.5,
,
C21orf59,
,
FAM46B,
,
TMUB2,4959
,
ZNF621,49807
,
TAMM41,56477
,
QRSL1,38839
,
SH3D21,22972
,
ABI3,12814
,
GTF2A1,45925
,
CCDC106,12099
,
FHL2,80801
,
HIST1H1A,
,
HDAC1,41552
,
DEPDC4,63410
,
FUCA2,16908
,
CALU,34108
,
HOXD12,2694
,
OR7C1,46116
,
OR7A5,8944
,
SYNDIG1L,20316
,
PBDC1,5715
,
XKR5,27007
,
GUK1,9022
,
ZDHHC2,68317
,
GSPT1,47954
,
C11orf16,12930
,
HADH,45527
,
EN1,5477
,
CAPZA1,51811
,
FBXO5,13060
,
B3GALNT1,21528
,
DHRSX,283299
,
RYK,185556
,
ASAH1,29006
,
GOLGA6L6,9944
,
SEC14L2,28362
,
SH3GL1,40177
,
CCNY,325644
,
ERLEC1,46029
,
PLEKHB2,248862
,
WHAMM,26480
,
CTSB,27009
,
BCL3,12339
,
ECHDC2,31302
,
TAS2R40,1042
,
NEK6,95701
,
B3GNT7,13128
,
CCDC160,9795
,
ATP6V0B,3808
,
STARD4,16557
,
CRELD1,11620
,
MRPL35,14435
,
ADO,3759
,
VAPA,46005
,
HMGXB3,53096
,
TTPAL,18729
,
DXO,2480
,
ASB6,7565
,
CTDSPL,122589
,
ASPA,31031
,
RPEL1,2129
,
AQP8,13201
,
ZNF587B,26517
,
PPIE,71732
,
TRAM2,79652
,
FAHD2B,12858
,
MTHFD2L,188925
,
HMOX1,13853
,
NCK1,89398
,
GS1-309P15.2,
,
GOLGA6B,14902
,
HOXB2,4215
,
MECR,38285
,
PDLIM7,14212
,
HLA-E,4685
,
SH2B3,45700
,
LPAR6,55137
,
SLC39A9,64375
,
LDHAL6A,23777
,
AEBP2,316756
,
ARID3C,8017
,
L2HGDH,74666
,
DUOXA1,12572
,
MORF4L2,12662
,
IGKV1D-17,656
,
GOLGA6L10,9482
,
HPCAL4,12837
,
STRADB,92988
,
HARS2,7875
,
CD300LF,18667
,
FXYD6,40510
,
KRBA2,19802
,
N4BP2L1,27588
,
ANKRD62,35921
,
RBM43,13923
,
OCIAD1,56605
,
GPR84,2042
,
COPS5,40704
,
NAA10,5855
,
RAB11FIP3,97362
,
IYD,37077
,
ZBTB8A,66514
,
FAM199X,29449
,
MNS1,43593
,
ALDH7A1,64162
,
DERL1,29132
,
CECR5,
,
ADRA2C,2178
,
RAB40A,20359
,
DESI2,55930
,
NKX2-1,4757
,
XXYLT1,202875
,
KDF1,10906
,
HIST1H2BN,
,
PSMD5,27455
,
SPATS1,37529
,
SULT1A2,5107
,
CLYBL,302790
,
LANCL3,112894
,
ARFIP1,138526
,
ATP6V1C1,51988
,
TAF8,36948
,
IL1RN,34701
,
THAP7-AS1,8806
,
KRT86,59863
,
RPP40,9346
,
SMPDL3A,20671
,
FAM166A,
,
ANXA4,182687
,
ZBTB12,2473
,
ANKRD53,7119
,
BRIX1,10319
,
RAD52,78317
,
GSTK1,26761
,
LCMT1,66500
,
ZP3,44553
,
XBP1,6042
,
GPR1,
,
DHRS3,52224
,
RSC1A1,2320
,
TPRG1,378090
,
FAM220A,19570
,
HTRA4,14435
,
ST6GALNAC6,20087
,
SIX6,3704
,
ABHD14A-ACY1,14477
,
CD58,56505
,
TNNI3,6006
,
SDSL,15896
,
DIRAS1,6805
,
DLX3,5219
,
ANP32E,17739
,
C3orf56,
,
RHOJ,89394
,
C6orf15,1352
,
ZC3H10,9254
,
GPR31,2733
,
ADH4,34135
,
DFNB59,
,
PCYT2,10474
,
GIPC1,18389
,
FRG2,2890
,
ANXA7,38975
,
PDSS1,49097
,
SERINC2,25115
,
EEF1G,14490
,
ATL3,47834
,
RRM2B,34459
,
MIR6511A3,66
,
EIF1AX,17313
,
INTS12,213359
,
RTFDC1,
,
WNT9B,53529
,
UTP3,2019
,
CRYZL1,54585
,
NHLRC1,2237
,
CNP,10977
,
TMEM144,53812
,
ZDHHC19,13985
,
ATXN3,62125
,
OGFOD3,29427
,
SLC16A4,28231
,
SPATA6L,113288
,
PNMA1,2601
,
CAPN14,60802
,
ACTR1B,8105
,
C3orf38,18770
,
TVP23A,57875
,
LGALS14,4963
,
KCMF1,88379
,
KIAA2013,6837
,
PRKX,109309
,
SGSH,14207
,
ENTPD8,7452
,
IK,15422
,
QPCT,30495
,
PRPSAP2,91202
,
MSRB3,212787
,
SLC30A1,7593
,
TMEM180,
,
WIPF3,110575
,
RNASE11,26992
,
LCE2C,1290
,
GPR143,60951
,
BCAS4,82283
,
ACTR3,72533
,
ERO1L,
,
ZNHIT1,6025
,
PARL,55662
,
BARX2,76431
,
IMPA1,29417
,
TXNL1,54391
,
POLR2C,9349
,
RAB34,4148
,
GLTSCR2,
,
SPDYC,3141
,
B4GALT2,12227
,
PRR11,50977
,
WDR31,27076
,
TAS2R5,1150
,
IGHA2,4664
,
MRGPRD,965
,
GPR19,35317
,
UGDH,29556
,
MCL1,18843
,
ALDH3A2,37624
,
CBX1,31426
,
BTNL2,13842
,
PPP2CA,32095
,
POLD2,9727
,
ARGFX,22673
,
CA5A,55034
,
CLDN6,5359
,
NDUFAF7,21772
,
NKG7,1095
,
C7orf26,
,
GML,82259
,
FAM3D,32888
,
MFSD5,3155
,
TMOD3,117667
,
HNRNPKP3,195018
,
AKAP10,74041
,
EVA1C,103391
,
LCE1C,1819
,
STRAP,21091
,
PPM1J,5338
,
HCRTR1,14832
,
HIST1H2AG,
,
ZNF500,19385
,
DRAXIN,34147
,
ADGRD2,28138
,
IFNW1,1200
,
EIF3F,31611
,
KLRC1,12421
,
RAB8B,78216
,
SLC25A27,25275
,
IL10RB,45053
,
LANCL1,50521
,
CELA3A,10885
,
SPDEF,18531
,
VN1R1,2350
,
CS,28692
,
MOSPD1,27625
,
PUF60,14365
,
MTHFD2,31393
,
DUS4L,15039
,
TNMD,14949
,
C2orf54,
,
OTP,10001
,
CLEC4G,4949
,
IGKV1-5,656
,
CLDN1,16739
,
MSANTD2,34208
,
BORA,28449
,
ANXA5,29049
,
HSD17B7P2,21652
,
MYD88,4472
,
DDX39A,10585
,
CRELD2,9373
,
CXorf56,
,
SDCBP2,19230
,
LRRC42,22091
,
HVCN1,77109
,
VPS36,38032
,
GSTM4,9397
,
SNX8,102548
,
FBXO9,48882
,
HRASLS5,
,
ZNF562,33293
,
CCDC71,3796
,
ZNF497,8491
,
ZNHIT6,59016
,
ZBED5,46722
,
TMEM79,10250
,
BRF2,6593
,
MTRF1,47208
,
RPS2,2783
,
TPST1,215226
,
DNAJB2,7556
,
POC1B,106329
,
PNP,15102
,
LRRC56,17385
,
AAMP,6049
,
IGHV3-23,534
,
SH2D1A,145329
,
HERPUD1,12722
,
ATP1B2,11143
,
GKN2,7661
,
RAB10,103370
,
SLAIN2,84672
,
FYTTD1,50417
,
PCBP2,29060
,
NR2E3,25621
,
PLD4,13048
,
TRMT11,217338
,
CDK20,8312
,
UEVLD,59138
,
RETNLB,13986
,
PVR,22364
,
METTL14,30041
,
GALE,5182
,
PAQR6,4797
,
DTWD1,35195
,
CYTH2,13106
,
PAAF1,54415
,
POMC,8050
,
RPS6KB2,6941
,
ETV7,33709
,
RNASEH2A,7056
,
AQP1,13664
,
ZNRF2,83092
,
CEPT1,45625
,
RNF138,39687
,
ARRDC5,12511
,
FBXO8,47009
,
EIF3G,4904
,
RTN4IP1,58727
,
ENKUR,80300
,
EMC2,45595
,
SLC30A2,8866
,
NUMBL,25067
,
FAM122C,
,
ARL14,1288
,
TAF1A,32031
,
TRIM72,17418
,
SLFNL1,7648
,
ARL4C,4040
,
S100PBP,42108
,
BEGAIN,50270
,
TSG101,58615
,
SLC25A46,27025
,
SERPINF2,12429
,
ABHD17B,48741
,
MCU,195551
,
TNFAIP6,22454
,
TOR1B,8124
,
NFAM1,51996
,
TAS2R9,1074
,
ZNF397,26103
,
ZNF410,45904
,
IGHV1OR15-9,435
,
APH1A,4181
,
CELF6,35430
,
SPNS2,40154
,
RAD51AP1,21249
,
INHBC,17278
,
IVD,30462
,
STAR,8292
,
RP11-71H17.7,
,
EBNA1BP2,106761
,
C9orf156,
,
TOMM40L,4807
,
CA11,8241
,
TSPAN8,316813
,
COX15,21259
,
MYL6,5150
,
CTH,28633
,
PON2,30467
,
KDELC2,
,
RRP15,52690
,
MBD2,73063
,
BCL2L1,59537
,
ABHD1,7023
,
NDUFA9,45222
,
DEDD,11714
,
MRPS22,354691
,
CHID1,47199
,
CMPK2,26065
,
AMT,5907
,
ZADH2,
,
EXOC3L2,33037
,
KCNMB3,30311
,
MRPL45,26194
,
ARPC1B,20567
,
APOL4,15716
,
FAM92A1P2,
,
MSI1,27834
,
RPSAP58,
,
MIIP,12579
,
CHKA,68585
,
C1orf86,
,
PILRA,32566
,
GATS,
,
TMEM19,18965
,
TRAF1,26780
,
MRPS27,106764
,
TMEM100,12494
,
C4A,20624
,
PABPC4L,5456
,
OR10H3,4358
,
SRSF2,3218
,
IFNE,1474
,
NKAIN3,765409
,
FOXD4L6,2246
,
OPALIN,16144
,
NUDT7,19768
,
CCDC77,53369
,
CCDC17,4013
,
LASP1,51911
,
TMEM43,18665
,
HOXC13,7713
,
NCALD,438365
,
METTL15,418793
,
HIST1H2AE,
,
EIF2S3,23864
,
TCP10L,89406
,
NGRN,10119
,
RP11-342M1.7,
,
HOXC8,3784
,
DHFRL1,
,
TMEM109,9536
,
VIPR1,48274
,
SIAH1,92038
,
NAPRT,3864
,
FAM127A,
,
NAIF1,6973
,
CD27,6763
,
TRIM16L,13223
,
MLF1,36089
,
DNPEP,27993
,
PDLIM1,53440
,
ROPN1L,118192
,
CPOX,14202
,
DUSP5,13626
,
C1QB,8875
,
IPMK,76377
,
CCDC70,4263
,
PLSCR1,29676
,
CLDN11,35865
,
TAAR8,1084
,
LTBR,16526
,
TAS2R14,234165
,
CYB5R2,12122
,
BPIFA2,19644
,
TMEM184B,53719
,
ERICH5,29088
,
CTSS,35878
,
H1FNT,
,
TAS2R13,1636
,
CCNA2,7439
,
GXYLT2,110092
,
MRPS2,4689
,
KRTAP13-2,881
,
PRAMEF7,4141
,
GRWD1,11181
,
BTBD1,50829
,
CALHM2,5616
,
CTDSP1,8805
,
MOB3C,9092
,
HIST2H2BF,
,
CACNG1,12243
,
HSF1,23129
,
C20orf96,19915
,
LRRC48,
,
IFNG,4972
,
FNTB,75757
,
OR1K1,950
,
C5orf22,22766
,
RNF169,93564
,
HOXA4,2273
,
FBXL6,3945
,
CENPU,40045
,
HOXB5,2522
,
C16orf82,2239
,
SLC25A32,16554
,
CELA2A,15363
,
LRRC14B,4839
,
SDCCAG3,
,
FAM168B,45584
,
OR5AU1,10690
,
C11orf70,
,
MED6,19433
,
INSL6,61767
,
ZNF503,3934
,
MFSD7,
,
DOK4,15405
,
COQ9,13845
,
OXCT2,1825
,
SNTA1,35806
,
RNF41,19754
,
ZYG11A,52487
,
SH2D5,13106
,
RUNDC1,14577
,
PMP2,7113
,
VSIG8,8341
,
TAS2R50,999
,
TTC24,7996
,
HYAL3,6574
,
HS3ST3B1,48323
,
HOXC11,4517
,
SYT8,9214
,
RAB8A,22345
,
CBFB,72074
,
POU2AF1,103375
,
SPANXD,1328
,
AQP7,19503
,
OLIG2,3261
,
PGAM4,1689
,
SPPL2A,63682
,
SLC30A7,100184
,
CPLX2,87711
,
KCNMB4,68002
,
Metazoa_SRP,289
,
EAF2,51343
,
TTC5,49402
,
TUBB,8103
,
PPA2,104990
,
LINC01098,300309
,
TRGC1,7799
,
WBSCR16,
,
TAGLN2,7400
,
CHST7,24731
,
UBE2I,35574
,
ST3GAL4,84704
,
TRIM43,7777
,
SLC25A17,49769
,
GFI1,13882
,
FAXDC2,40760
,
EMCN,484785
,
CD14,1972
,
NRBP2,7390
,
GMPR2,6820
,
RINL,10445
,
AKR1C8P,
,
SERP1,61230
,
SPIN1,90264
,
NFKBIA,3670
,
CENPN,26562
,
TCEAL4,11498
,
SPRYD3,15088
,
B3GNTL1,109660
,
PTDSS2,43131
,
CGRRF1,29480
,
SLC10A4,6183
,
TPST2,74721
,
FANCL,82167
,
SNRNP48,21769
,
SIRPD,23454
,
CYP2D7,9297
,
AQP2,8141
,
GPD1L,63020
,
DHRS7,25737
,
MURC,
,
C15orf26,
,
SNRPD2,5109
,
SLC22A18,25525
,
LCE2B,1274
,
FAM127B,
,
SHPK,28010
,
CABLES1,125906
,
FANCE,14766
,
CCDC121,3374
,
SKAP2,328171
,
UBLCP1,22746
,
ADCK5,20141
,
HCCS,11785
,
ERI2,120156
,
TCEAL2,14747
,
GNB2,5607
,
RBMX2,11669
,
CNTD1,12787
,
CABP2,5605
,
RNF130,160462
,
SAP30BP,40811
,
TCF21,6440
,
CHAD,4410
,
SHD,11456
,
ACSM6,34729
,
KLRC2,15446
,
ZNF684,16594
,
C7orf33,25094
,
AC023310.1,
,
SAAL1,36152
,
LHX5,10247
,
POM121L9P,1284
,
CCDC184,2282
,
SNX7,98799
,
C1orf111,
,
BSX,4264
,
DAZAP2,32638
,
TMPPE,6725
,
KLHDC10,65171
,
OR10V1,929
,
PTAFR,46770
,
LRFN4,3828
,
CTD-2374C24.1,
,
SHISA3,4999
,
RPP30,36601
,
CCDC9,17721
,
MEDAG,19301
,
LACE1,
,
UBE2J2,19955
,
AC004987.9,
,
MUL1,8703
,
SIRT7,9384
,
ABO,42746
,
TRBV4-2,564
,
TERF2,53004
,
KRTAP5-10,1172
,
AMZ2,52231
,
ZNF511,4248
,
TSPAN17,11667
,
RP11-379K17.4,
,
CD9,38556
,
ASGR2,14378
,
LYPD4,7623
,
LYZL1,29267
,
KHDC1,69051
,
TUBB7P,2348
,
ZC2HC1A,53715
,
IRF2BP2,7878
,
OSCAR,8024
,
FBXO25,71539
,
HIST1H2AC,
,
THUMPD3,23820
,
CASP3,22366
,
ATP6V0D1,43167
,
CMTM1,12744
,
KRBOX4,50130
,
WFDC8,28173
,
TRIB1,8045
,
KCNK15,6448
,
CALML3,1810
,
WBSCR22,
,
HSD3BP2,7085
,
SNCB,10474
,
ICAM2,18040
,
WNT11,24411
,
RAPSN,11379
,
TIMMDC1,26543
,
GPR52,1581
,
GRAMD2,
,
CNRIP1,35880
,
TMEM184C,54658
,
HCAR1,4768
,
BAK1,7746
,
EFNA5,294043
,
FAM196B,
,
FATE1,7159
,
TMEM232,449723
,
TCTN3,34320
,
BRMS1,7792
,
NFATC2IP,16285
,
YWHAZ,36865
,
WDR5B,4216
,
PEX16,9149
,
EIF4E2,32985
,
TERF1,39267
,
PURA,17842
,
CRKL,36340
,
HSD17B1,2292
,
CXorf38,20640
,
TMEM38A,28884
,
PPME1,83436
,
UQCRC1,11974
,
C22orf29,
,
GCAT,9271
,
CELF5,72415
,
BROX,22643
,
DNAJB7,2564
,
RAB30,98790
,
PIGM,7037
,
NIT2,26896
,
HIST1H3D,
,
SLC22A20,
,
CHCHD2,11912
,
ANKRD2,11385
,
ESM1,44804
,
ARHGEF33,85579
,
FAM9B,271450
,
ARG1,113500
,
OR1L6,8480
,
GSDMB,15259
,
RP13-580B18.4,
,
C2orf80,24687
,
CCDC144CP,82240
,
ZC2HC1C,55393
,
WDFY2,183254
,
KDM4E,2338
,
SNX5,27383
,
NDEL1,77280
,
RAB15,27412
,
GMCL1P1,
,
ZFP41,15884
,
SHBG,19436
,
GSX2,2975
,
CCNB1IP1,21944
,
H3F3B,
,
MDM4,41741
,
IFNB1,838
,
SEPHS2,2243
,
CCZ1B,32636
,
YBX3,24234
,
FCGR2C,24323
,
GNAT3,53429
,
OPN3,87274
,
SDHC,48825
,
KCTD21,17377
,
TMEM237,23386
,
KRTAP10-6,1237
,
ARIH1,128657
,
LIN28A,18911
,
PITPNB,68465
,
DDIT4L,4912
,
FAM178B,110698
,
STXBP6,240693
,
TCEA1,55896
,
MRPS31,42062
,
CTSH,28516
,
AREG,9869
,
MTHFSD,25057
,
SDCBP,29935
,
LIPJ,20223
,
VSIG10L,10603
,
TSPAN33,24992
,
ZNF75A,13446
,
VTCN1,67373
,
PIGC,73897
,
C1orf105,48146
,
C2,47888
,
PPP3CC,100323
,
DNTTIP1,19473
,
CTSO,32332
,
NAP1L4,47946
,
AADAT,31477
,
ANXA3,58704
,
CTGF,
,
SLC46A1,12555
,
FAM92B,
,
TMEM99,
,
YPEL2,70074
,
SHB,153329
,
TUFT1,43278
,
FXYD5,17061
,
HLA-DRA,5168
,
MOAP1,2724
,
FAM222A,56670
,
LDHA,13865
,
SRP54,47729
,
DRG2,20078
,
SMIM10,1482
,
GOT2,27211
,
EBAG9,30361
,
C1orf43,13941
,
C21orf62,
,
AGER,3354
,
MCTS1,27149
,
DCK,38376
,
RNH1,12788
,
SNRPB,9219
,
BST1,72549
,
ATG3,29536
,
KRTAP10-5,1149
,
NIT1,7359
,
C1orf110,
,
EGFL8,3686
,
SPEM1,1308
,
ZDHHC18,30916
,
RRP7A,11818
,
MKRN2,29151
,
ZIC2,4981
,
HIST1H3G,
,
PPP2R4,
,
WDR53,14497
,
OMD,12091
,
SERGEF,224999
,
DUSP15,23027
,
HNRNPAB,6630
,
ERVFRD-1,9521
,
KRT81,5621
,
CREB3,4401
,
CHCHD3,297220
,
CTSL,7418
,
ASPN,26301
,
BCL2L14,161240
,
C21orf91,30412
,
INHBE,6957
,
TNNT1,16508
,
AP5B1,7078
,
DPH7,24481
,
WDR34,
,
TMEM171,11240
,
ARHGEF39,16991
,
TNFSF13B,57244
,
HES1,2584
,
IMPACT,26897
,
CDC123,54624
,
MICU1,258791
,
ILF2,9240
,
C1orf74,5351
,
SRRM5,17881
,
C3orf62,8636
,
EEF1DP3,781
,
NKX2-5,3202
,
PSMC3,7704
,
TMEM182,282995
,
SLC25A36,39165
,
FAM118A,32987
,
BTG4,46841
,
TRIM44,155232
,
SOX14,2019
,
CD2BP2,4535
,
SCD,17593
,
RDH12,32565
,
SLC25A44,18864
,
NMNAT3,117837
,
TCEAL5,3059
,
DNAJC7,44955
,
NEUROG2,2664
,
EMX2,7101
,
GPR180,32804
,
TEX26,42844
,
S1PR5,5189
,
GTF2B,39311
,
ZFPL1,4188
,
CAMK1,12645
,
IGKV1-17,502
,
RRP9,8475
,
PPP1R9B,16940
,
CSN2,10472
,
C6orf89,57094
,
LCE1E,2212
,
SLC35B2,3794
,
C20orf195,
,
OR1D4,938
,
CAPZA2,110979
,
RRH,21151
,
DUSP9,8834
,
MUC1,7092
,
C10orf128,
,
IFNA8,1068
,
RDH10,30679
,
VRK1,157542
,
SAMD8,82537
,
PDCL3,14479
,
EIF4A3,12782
,
BPHL,35225
,
FNTA,51594
,
KCTD13,21224
,
GJA3,22797
,
OSM,4022
,
ALKBH5,26876
,
TM7SF2,4539
,
SLC25A43,55142
,
ACP1,14143
,
ASB1,25508
,
1-Mar,
,
ANGPTL3,8793
,
C8orf22,
,
OR2S2,1046
,
CCDC61,25857
,
SSX1,12052
,
KLF13,108830
,
SULT2B1,47253
,
FRMD8,26904
,
FAM86B1,12037
,
FTSJ1,10343
,
CLDN9,1582
,
WDR82,33586
,
UGT1A7,91399
,
ARRDC2,12970
,
RIBC1,8430
,
IL1F10,7873
,
RNF13,149369
,
HSDL2,92325
,
GKAP1,90091
,
C11orf65,159012
,
EGLN3,538547
,
TPRX1,17819
,
STX17,67880
,
C11orf80,
,
MFAP5,25542
,
NSUN3,68852
,
C10orf82,
,
THOC6,3728
,
SNN,10697
,
ASB13,27728
,
UTP18,37390
,
THEM5,6611
,
PHKG1,12713
,
SETD6,8363
,
TMEM196,54302
,
TFB1M,58359
,
RBM8A,6122
,
HYAL2,4992
,
CAPZB,146764
,
C4BPB,11133
,
NUP35,44167
,
CAB39,108233
,
FGF2,71554
,
KLK7,7631
,
LYG2,13420
,
C1QTNF6,19219
,
ATG5,280368
,
RPUSD2,5650
,
SRD5A3,26887
,
PEX14,158470
,
PREB,3910
,
SCN1B,9979
,
AC010203.1,
,
FFAR4,37815
,
DUOXA2,4095
,
TREH,22374
,
TTL,59583
,
METTL21C,9297
,
GALK1,13642
,
TBX6,6131
,
RALA,84555
,
TXNRD3,83345
,
IRF7,3430
,
TNFRSF25,5389
,
CENPO,29240
,
TOR2A,3789
,
TCP10L2,24534
,
OSGEP,8688
,
MRPL4,8154
,
VPS26B,23117
,
MSRA,374599
,
OOEP,26578
,
AP3M1,30587
,
RHOQ,42882
,
SDF4,15100
,
EIF2B2,9445
,
TUBA4B,18954
,
PPT2,10237
,
NTN5,11674
,
MICB,16243
,
PI4K2A,35763
,
STMN2,55041
,
GEMIN8,27419
,
RRP1,15780
,
RBP1,22395
,
FAM218A,2176
,
HAUS4,10933
,
C6orf120,4234
,
NECAB2,34532
,
PMP22,42519
,
EEF2KMT,13511
,
NDUFB9,41547
,
STRA8,26684
,
IGFALS,4558
,
EMBP1,49446
,
SLC35E3,47839
,
ZNF219,14645
,
PDCL,30199
,
TMEM59,26823
,
RAC2,34324
,
ELL3,4710
,
SPSB3,16988
,
FAM127C,
,
DCAF10,67112
,
GUCA1A,7974
,
CEP57L1,79308
,
DFFB,28162
,
XRCC2,31417
,
CTD-3187F8.14,
,
FAM58A,
,
ST6GALNAC2,21579
,
ZSCAN23,11572
,
NCBP2,7192
,
KCNIP2,17946
,
ZDHHC6,23144
,
TNFAIP8L3,48678
,
MMACHC,13082
,
FOXF2,6027
,
GPR183,12860
,
ADK,558761
,
TRABD,13685
,
TSPYL1,12170
,
TREM2,4680
,
MRPS35,45473
,
ACTR10,35556
,
NIPA1,56726
,
LRRC25,6485
,
MYL10,15966
,
FOXA3,9808
,
ANGPTL4,11081
,
SAMD11,20652
,
SUCLG1,36517
,
HSPB8,53300
,
IFT27,18054
,
THAP5,15207
,
SIRT4,20856
,
ENSA,28761
,
GTPBP6,15452
,
CCDC86,8968
,
PPP1R2P3,
,
DGAT1,12326
,
SRI,21878
,
TNFSF8,37252
,
PAQR5,108868
,
REXO1L1P,1973
,
HOXD8,3001
,
TPD52,196487
,
CBLC,22783
,
CD8A,23786
,
ECH1,16419
,
TAS2R8,1235
,
ACAT2,17067
,
GPT,4201
,
DHPS,6163
,
NIPA2,30718
,
SCML1,17539
,
C11orf49,
,
MANEAL,7290
,
PCNP,20285
,
CXCL5,3035
,
2-Sep,
,
MRPL3,40771
,
KRCC1,37047
,
MINPP1,48586
,
ZFP1,23742
,
PRPSAP1,75043
,
RP11-656G20.1,
,
CLEC6A,22368
,
YWHAE,55947
,
AMELX,7348
,
PRSS21,9124
,
KRTAP5-9,1188
,
TRUB1,39481
,
ARL15,426640
,
PHYHIP,12398
,
AKR1A1,19506
,
HSD17B11,54673
,
SERPINE3,28962
,
PEX19,9541
,
ZNF620,41605
,
ZNF821,35656
,
FAM45A,
,
CENPP,294576
,
C22orf42,10316
,
SPANXN5,1283
,
GMPPB,7129
,
TEX9,202026
,
SPRY2,5150
,
CXorf40A,
,
SNRNP70,23186
,
IL19,72217
,
NIPAL2,104567
,
RNF212,57314
,
DPPA3P2,477
,
DEGS2,15688
,
EFR3B,117059
,
PEX13,34765
,
PDLIM4,15758
,
KLHDC8B,4888
,
MAPRE3,56582
,
GLRX3,48130
,
HEY1,5486
,
SLC35G1,62089
,
SFXN1,52680
,
SPON2,42030
,
ELOVL3,3290
,
PTP4A1,61842
,
CPSF4,18451
,
GNRHR,17270
,
CCNE2,16908
,
TIFAB,8125
,
PDCD10,51641
,
NPAS1,25938
,
OBFC1,
,
METTL12,
,
OLR1,13837
,
SUCLG2,294152
,
SNX6,69067
,
AGPAT5,52861
,
CSAG1,6251
,
TAS2R3,1100
,
EVI2B,10335
,
IGBP1,32877
,
HIST1H2AA,
,
RUNDC3A,10257
,
MTERF4,30163
,
AKR7L,8212
,
CECR6,
,
IGKV1D-42,488
,
CRYL1,122207
,
ZNF775,29840
,
OR10G3,11556
,
GPR135,36358
,
CRIP3,9116
,
CTU2,8913
,
FOXQ1,2660
,
LIX1,50886
,
CXXC5,36583
,
NFYA,29429
,
BPGM,33005
,
ZFYVE27,23786
,
VPS37B,30797
,
ZSCAN9,8601
,
AC016757.3,
,
FBRSL1,95637
,
SLC39A1,9085
,
IL17F,9008
,
SLC30A4,43149
,
DR1,23586
,
TMEM86A,11663
,
APOBEC4,7041
,
PIANP,7024
,
FIZ1,10594
,
SCCPDH,43728
,
TMX4,42459
,
BDH1,63540
,
GHITM,15359
,
ACER2,43496
,
DCTN2,17591
,
BLVRA,48662
,
HSD17B6,35629
,
SRSF10,16580
,
USP17L7,1682
,
CTAG2,1607
,
LDOC1L,
,
TNFSF15,21387
,
AP1AR,41370
,
BTG2,4111
,
PLA2G5,63732
,
CCNDBP1,12059
,
RAB5A,38078
,
CCDC102A,24390
,
PPP1R3C,4629
,
PGGT1B,58865
,
ZNF726,30283
,
AIMP2,14579
,
HARBI1,15048
,
EIF2S2,23934
,
PRR5,69134
,
SPATA32,7701
,
COPS7A,7861
,
NUCB2,141827
,
LEMD2,17928
,
PPP4R2,72395
,
SIL1,346833
,
MPI,12214
,
IGKV1D-43,656
,
GJD4,3594
,
LPPR3,
,
TFG,39669
,
LHFPL1,49406
,
FOXR1,9575
,
HMGCL,36735
,
HCG17,92006
,
CHP2,3909
,
LLNLR-249E10.1,
,
RRM2,91027
,
FGF11,6664
,
TRMU,26465
,
SDR9C7,11275
,
TMEM174,1950
,
DEFB110,12856
,
COPS4,41371
,
CBLN1,3921
,
C19orf18,16097
,
THAP1,6651
,
PCBP4,16562
,
ARRB2,10903
,
C16orf93,
,
GID8,10328
,
JUNB,1829
,
PPP1CC,23259
,
NRBF2,21784
,
UTP15,17937
,
ABHD12,96093
,
MAPRE1,30451
,
DNAJB4,38789
,
OPA3,74445
,
FRA10AC1,34709
,
SRRM3,85392
,
B4GAT1,2255
,
SNX15,13133
,
TMEM156,66923
,
METTL6,59291
,
ESD,26164
,
TRIM14,49947
,
HIST1H2BG,
,
CCDC69,43041
,
SWI5,40744
,
PPAPDC2,
,
FXYD3,8501
,
MBL1P,2705
,
TSSK2,1314
,
PIP,7662
,
APBA3,10920
,
CTHRC1,11451
,
HIST1H3I,
,
FOXB2,1298
,
VPS26A,50900
,
TEKT2,4181
,
REXO4,12037
,
RFC3,148489
,
RFC2,22959
,
SYP,12403
,
NTN1,222490
,
POMK,37682
,
GPR82,5949
,
ACR,7143
,
SAV1,36248
,
RPL23,20784
,
MSL1,14946
,
MORN5,40180
,
MS4A5,25642
,
FIBP,4791
,
UBE2J1,26097
,
KLK10,7436
,
ACY3,8175
,
LCE3E,1126
,
